campaign_id,size,phone_numbers,top_call_type,sample_text
TC_0058,3,+16695293654;+16695293655;+16695293659,Telemarketer,"DT Telemarketer. Numerous spam calls with CID showing Sunnyvale    Ca. Different phone numbers, so blocked by name. Still nothing found online. SEE: 669-529-3654 x 1 669-529-3655 x 2 669-529-3659 x 2"
TC_0059,3,+16783708610;+16784986840;+16787716722,Scam suspicion,Eliza W | 1 reply NOT A VALID PHONE NUMBER Fake Caller ID:  Marietta GA (Faked) Real Caller ID:  “UNKNOWN CALLER” FOREIGN REROUTED FRAUD CALLER SAME SCAMMER AS 678-771-6722 & 678-498-6840 Robocalling 
TC_0060,3,+18032008449;+18646525582;+18652654199,Scam suspicion,"Grrr Fake ""customer service"" number directed to call in scam ""PayPal"" phishing emails."
TC_0061,3,+18048765179;+18048765210;+18048765517,Fax,"Unknown This Telephone Number can make outgoing calls, but cannot accept incoming calls Listed as Samuel Joseph"
TC_0062,3,+18142701011;+18142701358;+18782210425,Scam suspicion,"Viji | 1 reply I received a spam message via e-mail, which contained the above number as a contact. I suspect it was an attempt at the Customer Service Scam, in order to gain access to accounts and/or"
TC_0063,3,+18335883794;+18335883808;+18559090876,Scam suspicion,Disgusted Apparently the daily “IRS Tax Resolution” SCAM phone calls have tapered off and have now been replaced by daily “Personal Loan” SCAM phone calls from a variety of spoofed numbers. The first 
TC_0064,3,+18444875755;+18775800338;+18775804552,Scam suspicion,Wrongful Target Regarding file still open due to remainaing documents to be filed with the IRS.
TC_0065,3,+18552961471;+18663150205;+18773102928,Scam suspicion,"Matt Bieneman This is a ""callback"" number for a ""document delivery"" scam that calls using the forged Caller ID information 301-235-2829 CLINTON MD."
TC_0066,3,+18563241048;+18563934252;+19083961353,Unwanted,"NJ Office This morning our office received three calls from the same person/company. Each time a different number displayed on the caller ID. The person asked many questions about the address, the loc"
TC_0067,3,+18573433387;+18573433432;+18573433467,Unknown,Stephen This number with two other numbers 857-343-3467 857-343-3387 have been calling me Monday thur Friday for two weeks now one day it one number next day it’s another number then this number then 
TC_0068,3,+18778531204;+18883132894;+18886480916,Unknown,Gee I would like to report a concerning experience involving a company identifying itself as “MSI Insurance” in Bedford. A charge appeared on my credit card that I did not authorize. When I contacted 
TC_0069,3,+19097293786;+19097293808;+19097293819,Scam suspicion,"L Robocaller did not respond to multiple hellos may I help you.  When I called back using *67 to protect my privacy, the operator said to leave a message for Extension 7839.  Yesterday it was (909) 72"
TC_0070,2,+12014716016;+18664338829,Scam suspicion,"Annoyed Got a missed call from this number, Caller ID showed number and caller as ""Behalf HomeHealth"". Called it back 3x and without it ringing, a recording came on saying they were busy taking calls "
TC_0071,2,+12025520737;+18777691786,Scam suspicion,"Betsy Call came in from 877-769-1786; purported to be calling from the ""relief qualification review desk at the tax mediation and resolution agency."" Asked for call back to 202-552-0737."
TC_0072,2,+12054313879;+18452860989,Text message,"Carl M Text message SCAM!!!   ""Amzn_Alert! We Detected an unusual Activity Order from your Amzn_ $489.99 (Sony WH-1000XM5 Headphones) placed on your account. Ref-ID: (AZN8KP). Not you? Call to Make Su"
TC_0073,2,+12128012383;+19804758672,Scam suspicion,"MM PHISHING Text message from 1+980-475-8672  falsely says: ""Your ___(crypto exchange name)___ Verification code is: _________. Please do not share this code with anyone. If you have not requested thi"
TC_0074,2,+12128483835;+18055006640,Scam suspicion,imppress Paypal payment failure message. Neither phone number shows up as Apple in Google. -====================================== Your automatic payment is no longer active You’ll need to contact App
TC_0075,2,+12134516575;+14024095484,Scam suspicion,Genotheros Received a fake legal filing scam for my daughter. Caller ID: 402-409-5484. Callback number: 213-451-6575. Female voice claiming to be ‘Monica’ saying she has 48 hours regarding a filing. N
TC_0076,2,+12164025534;+16143215548,Scam suspicion,"Anon The below text message was received: ""OUR COMMUNITY IS AT RISK! Bellefaire JCB silenced workers' voices by stripping away their Union after decades of representation. If they can silence the work"
TC_0077,2,+12164970773;+19592726476,Scam suspicion,Rizzo I receive multiple calls weekly from this company about my loan being approved. I never applied or even called them to inquire about a loan. The message is always the same: contact them at 833-7
TC_0078,2,+12183106731;+15052212513,Text message,"Gary Call-back number referenced in an unwanted text from (229) 722-8136, claiming to be an Amazon recruiter"
TC_0079,2,+12202194232;+13149864445,Text message,GaryL SCAM text: Ⅽоіոᖯа𐑈е: Your verification code is: 738-015. Did not request this code? Contact us on: +1(870)970-1494. REF:RH93011
TC_0080,2,+12314475707;+15027873462,Scam suspicion,"Manda (male voice, first of message is cut off) ""with underwriting. The loan reconsideration department reviews applications that may not have qualified previously and identifies new opportunities bas"
TC_0081,2,+12316363009;+15176161006,Telemarketer,"Detroiter did not address me by name, left a message saying to have my DTE bill when i call bc they need to ""review it."" they are NOT DTE. also received the exact same call from 231-636-3009. note the"
TC_0082,2,+12392080481;+19144682414,Scam suspicion,"AJ Fraudulent robocall from 239-208-0481 claiming you owe a debt and must contact ""Karen Miller"" at 833-486-0392 to ""handle the situation"". No such debt exists. 'This message is for [name inserted]. I"
TC_0083,2,+12482438774;+18447562390,Scam suspicion,Anonymous | 2 replies “Attention please. This call is for XXXXX regarding the reference case number XXXXX. This is Kevin Goodman. I'm calling with a civil source processing and we do have some legal d
TC_0084,2,+12487479590;+12513157162,Scam suspicion,"JOman A robocall from UN-known - medicare ins scam - wants you to call 877-556-1616 - A search shows this number ( 251-315-7162 ) to be from Evergreen, AL. A land line number using TELNYX LLC. They ke"
TC_0085,2,+12514127103;+17196744252,Unknown,"steve mc Bank of America: $371.35 Purchase @IGA #5195 In Billings, MT. YES? Reply Y. NO? Use: 1(800) 5567045 To Contact Us Now."
TC_0086,2,+12526454958;+12548859704,Scam suspicion,"VegasCo Robocall. Scam. Left a voicemail. Music then ""The payment of $1099 for the recent order of Apple IPhone 17Pro on your account. If you do not authorize this payment, press 1 to speak to our Cus"
TC_0087,2,+12537532925;+19092336760,Scam suspicion,"cellphoneuser1 A spam caller from number 909-233-6760 (Rialto, CA) left a VM saying ""... any interest in selling it, if so, I am interested in purchasing it, so please go ahead and reach back out at 2"
TC_0088,2,+12542641579;+19845846446,Unknown,Texas Left me a message about $100 voucher that I needed to use and to call back ASAP. But then give me a callback number as 9845846446. Scam!
TC_0089,2,+12603588620;+17652339003,Scam suspicion,"Not An Idiot Gentleman claiming to be from Purdue University asks to speak to the business owner. Gets incredibly nasty when we ask for the reason he's calling and will tell us just to ""put the owner "
TC_0090,2,+12605293342;+12605293925,Scam suspicion,"April M Spam call about back taxes due that need to be ""settled before the end of the month"". Says to just call back the number on the caller ID. Most recent number is (260) 529-3925 on caller ID, but"
TC_0091,2,+12624630454;+18776623013,Unwanted,"Mike-D Got another unsolicited pending loan approval call, which I did not apply for.  Of course, all they would need is for me to give them all of my sensitive information.  Sure... Here is the body "
TC_0092,2,+12676526536;+19432751986,Scam suspicion,"Shane Call received at 2:15 PM on 11/7/2025, call was rejected based on area code.  As expected for non-Utah area codes, I received an alert on my smartphone regarding the voicemail within the next mi"
TC_0093,2,+12702966699;+13468442746,Scam suspicion,"MikeHuntleton This is a Loan Scam. Quote: Hello, this is Sam with Personal Loan Underwriting . I wanted to reach out before the end of the week. I see notes on your file that one of my colleagues trie"
TC_0094,2,+12708128867;+18882337130,Fax,Orley Junk FAX: Fast COVID-19 Business Load
TC_0095,2,+12793333525;+17079791478,Unwanted,"DenDen A man named Jay called saying he passed by the property and is interested in buying it (it's NOT for sale). If interested, call him at (626) 244-8736. He has called from different numbers but t"
TC_0096,2,+12816979414;+18322373713,Scam suspicion,"TheAnonymousOne Left this VM: ""Hey, me name is Allison, I'm a local investor in your area and I'm calling to ask to see if you're open to any offers on the property you own. The benefits of working wi"
TC_0097,2,+13072041407;+13078557018,Survey,ALYS This is a legitimate survey company. Answer if you like participating in consumer surveys. Another phone number used is 307-204-1407.
TC_0098,2,+13124808945;+17622329141,Scam suspicion,"Annoyed I got a text message from 762-232-9141 pushing an Amazon ""recruiting"" job scam."
TC_0099,2,+13156749116;+13158613831,Telemarketer,"Keybolt Telemarketer leaving another loan offer message on my cellphone that went like this, ""Hello, this is Kevin Ramirez from the underwriting department calling to let you know that you’ve been pre"
TC_0100,2,+13159290910;+19174445429,Scam suspicion,"Vee I received a spam message via e-mail, which contained the above number as a contact. I suspect it was an attempt at the Advance Fee Fraud Scheme. Spam message contents were as follows: Subject: Wa"
TC_0101,2,+13163965154;+13213369203,Telemarketer,"Keybolt I have had several calls from different numbers that leave a message that goes like this, "" Hi there. This is Amy. I’m a senior underwriter with our approval department. I’m just reaching out "
TC_0102,2,+13172361430;+18332007521,Scam suspicion,"Tim Brown | 2 replies Voice mail left after AT&T redirected call as potential ""Spam Risk"" VM content: ""A purchase was declined for $122 at amazon.com press one if you recognize this purchase if you do"
TC_0103,2,+13213980672;+15054166422,Scam suspicion,"Lois Felice SCAM TELEMARKETER.  Prerecorded message, female American voice, unsolicited, telling me ""it looks like I might owe taxes"" from the previous year and they were a ""zero tax"" service; and she"
TC_0104,2,+13217325414;+18583489224,Scam suspicion,"Tom Calling from phone number 858-348-9224, ""Hi!  This is Mia Hernandez with the Tax Center.""  She then gives a call-back number of 321-732-5414.  Back Taxes scam."
TC_0105,2,+13603144713;+18018742271,Scam suspicion,AaronF 801-874-2271 and 801-874-2524 are robocallers.
TC_0106,2,+13604502383;+13609191961,Unwanted,DT | 4 replies DYNATA . This place has called three times in three days - from a different phone number each time - always when we're not open for business (one evening at 7:00pm - we closed at 5:30 -
TC_0107,2,+13605237481;+14644443452,Scam suspicion,Eliza Foreign Rerouted Fraud Caller 19 Repeat Calls in seconds (ALL BLOCKED) Invalid Phone Number Fake Caller ID:  “Centralia WA” (NOT) Robocalling Fraudster PHISHING SCAM Beware!
TC_0108,2,+13824572952;+13824574226,Unknown,Gary I get a lot of calls from this number and 382-457-4226.  I don't know who's calling because there's no answer when I pick up and no messages.  I am blocked both numbers.
TC_0109,2,+13863080994;+13863810189,Scam suspicion,jack this number and 386 381 0189 & they never leave a message. spam calls. we don't answer people who are not on our contact list. i have no intention of answering and no intention of blocking them. 
TC_0110,2,+14013320660;+16172795037,Fax,Obrian Flat Roof unwanted advertising
TC_0111,2,+14042814713;+19453616752,Text message,Gary Sent unwanted group text claiming to be an Indeed recruiter
TC_0112,2,+14108262451;+14109899317,Scam suspicion,"Fred Caller ID: Baltimore MD Preceded by 410-989-9317, CID: Fork MD, in less than 2 min."
TC_0113,2,+14142852117;+18667677603,Scam suspicion,Steve Maverick They are not really AT&T (they are a scam call center in India [no calls during the Diwali holiday]). Verified this with the real AT&T customer service as well as the local AT&T store. 
TC_0114,2,+14193797711;+19172107226,Scam suspicion,"Not Believing You This is a cross post, since this number was given as a call back number. A woman called my office saying that my business was pre-approved for capital loans with no collateral (sound"
TC_0115,2,+14242106711;+17727826456,Scam suspicion,"OlDude | 1 reply Oooh!  ""Amelia"" has just offered me a job with Amazon!! $200-$500/hour for one hour a week!! Can't wait for more info.   I texted her back through a burner phone...hope ""she"" responds"
TC_0116,2,+14323360906;+14326928229,Scam suspicion,"JenU This number called my phone as ""potential spam"" after 10pm. Then I got a call from 432-692-8229 with the same ""spam"". Both Texas. No message left."
TC_0117,2,+14343538593;+15028795329,Scam suspicion,Jennifer Olivia again from she claims some tax review unit. Claims there is an urgent update regarding my current tax situation that needs my attention. Said she has been trying to reach me over the p
TC_0118,2,+14432901103;+18773103884,Scam suspicion,"Matt Bieneman This is the ""callback number"" for an unidentified fake debt collection scammer (using forged Caller ID info 443-290-1103 PARKVILLE MD) to try to collect victim's credit card information."
TC_0119,2,+14638007052;+18888824112,Scam suspicion,"AJ Fraudulent robocall from the ""Tax Relief and Consolidation Agency"" with CallerID 463-800-7052 claiming you are at risk of penalties and collections and they can help. Recording tells you to call th"
TC_0120,2,+14844736477;+16469951811,Scam suspicion,"Justice Gustine Kelly from Premier Financial offering a ""hardship loan"". Left voicemail from 646-995-1811 saying to call back 844-306-0627"
TC_0121,2,+15023047313;+15027981674,Scam suspicion,"Shane Call received at 5:52 PM on 11/5/2025, call was rejected based on area code.  As expected for non-Utah area codes, I received an alert on my smartphone regarding the voicemail within the next mi"
TC_0122,2,+15054772842;+15054772847,Scam suspicion,"Carol Received voice mail call from 505-477-2842 from Walmart in Santa Fe, NM. Came across as spam risk.  Left message questioning if I approved a Walmart purchase of a PlayStation for $ 595.95. The n"
TC_0123,2,+15087151389;+15089752715,Text message,"Old but not yet senile ""Hello, I'm Amy your Erin's friend right? nice to meet you. She mentioned that your company currently has some issues that need consultation?""  Sent on two consecutive texts, on"
TC_0124,2,+15164604987;+18186518563,Scam suspicion,"Just Me I received a text from 1 (516) 460-4987 Hey mom, my phone is broken. Can you text me on my new number? (818) 651-8563 Someone on instagram received the same msg to text this #. However they di"
TC_0125,2,+15182028761;+15858683901,Telemarketer,"Keybolt The caller does not leave a business name and has a file for me when I have never contacted this type of business. They left this voicemail, ""Hi, this is Lauren calling from the approval depar"
TC_0126,2,+15184139364;+15184486716,Scam suspicion,"Manda (female voice) . This is Lauren calling from the approval department regarding your prequalified personal loan for $91,000. Based on your file, your estimated monthly payment could be as low as "
TC_0127,2,+15185758531;+19146186270,Scam suspicion,"Manda (male voice, a lot of noise in the background) ""Hello. Jacob checking back. This $75,000 opportunity may not last. Please call 1-877-201-1047. Once again, that 1-877-201-1047."" (First call came "
TC_0128,2,+15186041904;+16078789735,Telemarketer,"Keybolt ""Well, hey, this is Trevor Banks with the approval department. I’m reaching out because you’ve been prequalified for a personal loan of $60,000 and your estimated payment could be about $300 a"
TC_0129,2,+15187197802;+19094434808,Unwanted,ina | 1 reply Spam/scam suspicion. This number (518-719-7802) left a message about an offer with call-back number 866-878-0828. The voice on the message sounded A.I.-generated. I called the 866 number
TC_0130,2,+15192193479;+15198855218,Scam suspicion,Ann | 1 reply This caller looks like they are spoofing this number - on the call display it shows a V11416123500021 number that indicates it is probably coming from India and probably fraud
TC_0131,2,+15704523595;+18333037988,Scam suspicion,"SCAMBuster Received this text message from 570-452-3595: Uphold: An attempt to reset your password was made. If this was not you, contact support immediately at: +1(833)303-7988 I found a phone, IP, t"
TC_0132,2,+15743074328;+16092448454,Scam suspicion,"Lemme A. Lone Spam call left voicemail, apparently from 609-244-8454: ""...the payment of $1099 for the recent order of Apple iPhone 17 Pro on your account.  If you do not authorize this payment please"
TC_0133,2,+15858556970;+17165910848,Telemarketer,"Keybolt Had a total of three calls from alternate phone numbers all leaving the same message that went like this, ""Hi Antonio here, your $55,000 option remains available, and we may secure a great rat"
